mimic_unit,metric,mimic_value,eicu_p10,eicu_median,eicu_p90,percentile,pctile_lo,pctile_hi,n_eicu_units
OTHER,n_gaps_gt30m,23.0,3.0,14.0,21.0,0.9831932773109243,0.9369747899159664,0.9831932773109243,238
OTHER,n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
OTHER,frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Surgical Intensive Care Unit (SICU),n_records,26.0,6.0,28.0,52.30000000000001,0.36134453781512604,0.36134453781512604,0.4117647058823529,238
Surgical Intensive Care Unit (SICU),t_first_h,0.21666666666666667,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.4579831932773109,0.4579831932773109,0.4579831932773109,238
Surgical Intensive Care Unit (SICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Surgical Intensive Care Unit (SICU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.23949579831932774,238
Surgical Intensive Care Unit (SICU),max_interval_min,61.0,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Surgical Intensive Care Unit (SICU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Surgical Intensive Care Unit (SICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Surgical Intensive Care Unit (SICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Trauma SICU (TSICU),n_records,26.0,6.0,28.0,52.30000000000001,0.36134453781512604,0.36134453781512604,0.36134453781512604,238
Trauma SICU (TSICU),t_first_h,0.21666666666666667,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.4579831932773109,0.4579831932773109,0.5084033613445378,238
Trauma SICU (TSICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Trauma SICU (TSICU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
Trauma SICU (TSICU),max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Trauma SICU (TSICU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Trauma SICU (TSICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Trauma SICU (TSICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
