bin,OR,lo,hi,p,model,careunit
00-02,0.8121499951386661,0.6521435957648544,1.0114146928486671,0.06308666966993366,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
12-14,0.7519840075253643,0.5779461836362902,0.9784301092119881,0.03381050913939583,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
02-04,0.6884320997160649,0.5400806189915994,0.8775333519732205,0.002569970622936242,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
06-08,0.6864920541470092,0.5120157045928868,0.9204236045488035,0.011930402229242307,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
04-06,0.6350629101328915,0.4809981042016132,0.8384750299502417,0.0013617933616586505,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
16-18,1.169930889174924,0.9475293686801473,1.4445338906510103,0.14458155308311865,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
22-24,1.0863844011063954,0.8659196905995691,1.3629798233945933,0.4740153134690229,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
08-10,1.019772495784188,0.7795571500335635,1.3340086010539929,0.8863955387854241,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
20-22,1.017597379731079,0.8203636093869049,1.2622505622957088,0.873912365270895,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
00-02,0.9400731735970476,0.7394550813507967,1.195120020140318,0.6138553074124273,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
06-08,0.8701142619260256,0.6363290666366466,1.1897913650381573,0.38349637929547065,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
10-12,0.8603427304135185,0.6578172102238002,1.1252208094761817,0.27201062396091,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
14-16,0.8436017847150453,0.6653331928998789,1.06963545298649,0.16026730669989853,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
12-14,0.8189244262069794,0.6333223865598409,1.058919169873784,0.12766176259356116,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
02-04,0.7751502512206548,0.5905837714103349,1.017396584624353,0.06640773747844163,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
04-06,0.7090423326771179,0.5230572070281008,0.9611587848768509,0.026747188935584493,    Medical/Surgical Intensive Care Un,Medical/Surgical Intensive Care Unit (MICU/SICU)
22-24,1.1576418905223316,0.9107838198818294,1.4714081623298878,0.23158743311199492,    Neuro Intermediate,Neuro Intermediate
08-10,1.0797200744212887,0.7516452712893185,1.5509915163952153,0.6780956768140434,    Neuro Intermediate,Neuro Intermediate
20-22,1.0246707497001932,0.8180812613887386,1.283430136889833,0.8319962235685503,    Neuro Intermediate,Neuro Intermediate
02-04,0.9936279953042947,0.7617316184697279,1.296121322935038,0.9624000656727358,    Neuro Intermediate,Neuro Intermediate
14-16,0.9876175040111069,0.7563191681658435,1.2896517439780772,0.9270785540919476,    Neuro Intermediate,Neuro Intermediate
16-18,0.9780195305026262,0.7722270946311158,1.238654028969933,0.8537103815342697,    Neuro Intermediate,Neuro Intermediate
00-02,0.9038810013776886,0.708640279422922,1.1529133869116983,0.41568604842974677,    Neuro Intermediate,Neuro Intermediate
04-06,0.9018457591582155,0.6691034605542603,1.2155456088030532,0.4975569903475845,    Neuro Intermediate,Neuro Intermediate
12-14,0.8994374154093027,0.656690434536829,1.231916321133495,0.5090071960414451,    Neuro Intermediate,Neuro Intermediate
06-08,0.8359970469891318,0.5971962405715534,1.1702871101560637,0.29661093178986486,    Neuro Intermediate,Neuro Intermediate
10-12,0.8310159657948757,0.5748610395117284,1.2013121223044732,0.324879026866552,    Neuro Intermediate,Neuro Intermediate
10-12,1.4963021911341958,0.7175326087235235,3.1203045268924994,0.282493198859715,    Neuro Stepdown,Neuro Stepdown
08-10,1.3397356463687402,0.6363477813129174,2.820614222065539,0.4413128070291953,    Neuro Stepdown,Neuro Stepdown
14-16,1.2143500746649274,0.6956234589918985,2.119891278502569,0.4944874558411564,    Neuro Stepdown,Neuro Stepdown
20-22,1.1531987309281782,0.7004886019265605,1.8984852991994643,0.5752016290074713,    Neuro Stepdown,Neuro Stepdown
02-04,1.104965123396971,0.6095860449879925,2.0029131801200166,0.7422245183993266,    Neuro Stepdown,Neuro Stepdown
16-18,1.0629013519601616,0.6407157737206152,1.7632768387115936,0.8132704884899422,    Neuro Stepdown,Neuro Stepdown
12-14,1.019230950252547,0.5385206569423237,1.929047134145441,0.9533348520698336,    Neuro Stepdown,Neuro Stepdown
22-24,0.9995843069105874,0.5890560777563683,1.6962201466923363,0.9987704540988688,    Neuro Stepdown,Neuro Stepdown
06-08,0.9951702131533388,0.46637015473930465,2.12355731404224,0.9900109499656584,    Neuro Stepdown,Neuro Stepdown
00-02,0.7995119120578524,0.45707642568668577,1.398495441024061,0.43285623789709793,    Neuro Stepdown,Neuro Stepdown
04-06,0.5692958571580684,0.29335370946263445,1.1048020274603736,0.09584498437204525,    Neuro Stepdown,Neuro Stepdown
08-10,1.8249956461760677,0.756534131417478,4.402457166501154,0.18058294375263573,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
16-18,1.1308487158193266,0.5702486419170676,2.2425635487198603,0.7248202368767988,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
02-04,1.0698750802657855,0.5169895439324074,2.2140345018725816,0.8555657663257971,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
04-06,0.8999306120515336,0.4069825197826321,1.989950592816613,0.79454146012848,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
22-24,0.892077250436743,0.44328667903991864,1.795230622472904,0.7489191782148923,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
06-08,0.6949775914133555,0.26368700004997053,1.8316938357794588,0.4617851758325736,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
00-02,0.6872494509202738,0.3395660894902809,1.3909274877806561,0.2971091957459179,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
14-16,0.686827547575242,0.3052670812707006,1.5453093669471198,0.3638717396037109,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
20-22,0.6262327237820029,0.30168865174113124,1.2999077760204645,0.2090970486654351,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
12-14,0.44534450937073816,0.17101451260622533,1.1597362645083713,0.09762206375411613,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
10-12,0.25576500840669636,0.05751927497603127,1.1372837983882222,0.07329517501981213,    Neuro Surgical Intensive Care Unit,Neuro Surgical Intensive Care Unit (Neuro SICU)
08-10,1.2941349386694656,0.8783752721568315,1.9066853229743397,0.19220641304461594,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
22-24,1.237420043508638,0.9130042806557813,1.677109731596332,0.16967371084361915,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
20-22,1.0791546462358272,0.7961580758739606,1.4627431232346586,0.6234832077118633,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
00-02,0.9899629482999424,0.7110639462352335,1.3782538746276174,0.9523545840531518,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
10-12,0.9807263134147964,0.6716644706275664,1.432000863355928,0.9197338949746232,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
02-04,0.9669257251698337,0.6712333273924371,1.3928768430304594,0.856679929288301,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
12-14,0.9011869145263721,0.6300520578093839,1.2890011941826989,0.5688465699254444,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
16-18,0.7702677699085183,0.5509621634283424,1.07686602954362,0.1268137035873413,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
06-08,0.7307555122748567,0.4573970283272923,1.1674837955833413,0.1894577230668435,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
14-16,0.702944792939061,0.4842906523260074,1.0203198834147793,0.06371825775827392,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
04-06,0.6407218390625325,0.41297093710591976,0.9940759461879073,0.04698026761194135,    Surgical Intensive Care Unit (SICU,Surgical Intensive Care Unit (SICU)
20-22,0.9740213042029109,0.7120024060684506,1.3324638975306098,0.8692270469186292,    Trauma SICU (TSICU),Trauma SICU (TSICU)
10-12,0.9730486797263889,0.6779282526204385,1.3966429772729658,0.8822065211674984,    Trauma SICU (TSICU),Trauma SICU (TSICU)
22-24,0.890445837839912,0.6374761849295365,1.2438014295609578,0.4961997504815614,    Trauma SICU (TSICU),Trauma SICU (TSICU)
06-08,0.8385492566325392,0.5715982192213472,1.2301732793304745,0.36784120662175024,    Trauma SICU (TSICU),Trauma SICU (TSICU)
08-10,0.8210254622487014,0.5514542200269974,1.2223731094626364,0.3314810555595752,    Trauma SICU (TSICU),Trauma SICU (TSICU)
04-06,0.8106607063970108,0.5613584999896791,1.170679309047931,0.26292379890104134,    Trauma SICU (TSICU),Trauma SICU (TSICU)
16-18,0.7628408080422681,0.5544041985039424,1.0496423006624152,0.0964263336162355,    Trauma SICU (TSICU),Trauma SICU (TSICU)
02-04,0.7178886022842889,0.4905424988206718,1.0506001957601885,0.08802610901612623,    Trauma SICU (TSICU),Trauma SICU (TSICU)
00-02,0.7176509270982508,0.4973059147629508,1.0356258348756486,0.07624500514969738,    Trauma SICU (TSICU),Trauma SICU (TSICU)
14-16,0.6904656334691962,0.488749050265669,0.9754347159199094,0.035636401886127794,    Trauma SICU (TSICU),Trauma SICU (TSICU)
12-14,0.6659059092606012,0.4571563008166846,0.9699760873819817,0.03410616268814592,    Trauma SICU (TSICU),Trauma SICU (TSICU)
