careunit,hour,records,share
Coronary Care Unit (CCU),18,10413,0.040335138401468844
Coronary Care Unit (CCU),19,10344,0.04006786436423641
Coronary Care Unit (CCU),20,11426,0.04425903115098272
Coronary Care Unit (CCU),21,11233,0.04351143855408619
Coronary Care Unit (CCU),22,11045,0.0427832136410471
Coronary Care Unit (CCU),23,10712,0.041493325896142734
Medical Intensive Care Unit (MICU),0,19197,0.041418816142917245
Medical Intensive Care Unit (MICU),1,19404,0.041865432538269846
Medical Intensive Care Unit (MICU),2,19574,0.04223221894991208
Medical Intensive Care Unit (MICU),3,19674,0.0424479756626428
Medical Intensive Care Unit (MICU),4,19808,0.042737089657701975
Medical Intensive Care Unit (MICU),5,19679,0.04245876349827934
Medical Intensive Care Unit (MICU),6,19328,0.041701457436594494
Medical Intensive Care Unit (MICU),7,19459,0.04198409873027174
Medical Intensive Care Unit (MICU),8,20512,0.044256016915326275
Medical Intensive Care Unit (MICU),9,20530,0.044294853123617806
Medical Intensive Care Unit (MICU),10,20662,0.04457965198442237
Medical Intensive Care Unit (MICU),11,20294,0.0437856672815733
Medical Intensive Care Unit (MICU),12,20208,0.04360011650862487
Medical Intensive Care Unit (MICU),13,19546,0.042171807070347476
Medical Intensive Care Unit (MICU),14,19309,0.04166046366117566
Medical Intensive Care Unit (MICU),15,19162,0.04134330129346149
Medical Intensive Care Unit (MICU),16,19011,0.0410175086572381
Medical Intensive Care Unit (MICU),17,18485,0.03988262834827449
Medical Intensive Care Unit (MICU),18,18035,0.038911723140986225
Medical Intensive Care Unit (MICU),19,17344,0.03742084425601692
Medical Intensive Care Unit (MICU),20,18311,0.03950721166812302
Medical Intensive Care Unit (MICU),21,18435,0.03977474999190912
Medical Intensive Care Unit (MICU),22,18688,0.04032061447511786
Medical Intensive Care Unit (MICU),23,18830,0.04062698900719549
Medical/Surgical Intensive Care Unit (MICU/SICU),0,14977,0.04114843052407446
Medical/Surgical Intensive Care Unit (MICU/SICU),1,15146,0.04161274812830552
Medical/Surgical Intensive Care Unit (MICU/SICU),2,15107,0.041505597911944504
Medical/Surgical Intensive Care Unit (MICU/SICU),3,14959,0.04109897657806168
Medical/Surgical Intensive Care Unit (MICU/SICU),4,15085,0.04144515420015111
Medical/Surgical Intensive Care Unit (MICU/SICU),5,14907,0.04095610962291366
Medical/Surgical Intensive Care Unit (MICU/SICU),6,14385,0.03952194518854317
Medical/Surgical Intensive Care Unit (MICU/SICU),7,14700,0.040387389243766746
Medical/Surgical Intensive Care Unit (MICU/SICU),8,16092,0.044211827735421386
Medical/Surgical Intensive Care Unit (MICU/SICU),9,15948,0.04381619616731918
Medical/Surgical Intensive Care Unit (MICU/SICU),10,16150,0.044371179339240334
Medical/Surgical Intensive Care Unit (MICU/SICU),11,16238,0.0446129541864139
Medical/Surgical Intensive Care Unit (MICU/SICU),12,16100,0.044233807266982623
Medical/Surgical Intensive Care Unit (MICU/SICU),13,16059,0.0441211621677313
Medical/Surgical Intensive Care Unit (MICU/SICU),14,15844,0.043530462257023145
Medical/Surgical Intensive Care Unit (MICU/SICU),15,15366,0.04221718524623944
Medical/Surgical Intensive Care Unit (MICU/SICU),16,15316,0.04207981317398173
Medical/Surgical Intensive Care Unit (MICU/SICU),17,14756,0.040541245964695376
Medical/Surgical Intensive Care Unit (MICU/SICU),18,14118,0.038788378322687
Medical/Surgical Intensive Care Unit (MICU/SICU),19,13870,0.03810701284428875
Medical/Surgical Intensive Care Unit (MICU/SICU),20,14706,0.040403873892437665
Medical/Surgical Intensive Care Unit (MICU/SICU),21,14667,0.04029672367607665
Medical/Surgical Intensive Care Unit (MICU/SICU),22,14615,0.04015385672092864
Medical/Surgical Intensive Care Unit (MICU/SICU),23,14864,0.040837969640772034
Neuro Intermediate,0,5758,0.04814904630101934
Neuro Intermediate,1,4605,0.038507530082701295
Neuro Intermediate,2,5633,0.04710378218368217
Neuro Intermediate,3,4620,0.03863296177678176
Neuro Intermediate,4,5822,0.048684221529095975
Neuro Intermediate,5,4601,0.03847408163094651
Neuro Intermediate,6,5445,0.04553170495120707
Neuro Intermediate,7,4166,0.03483656250261316
Neuro Intermediate,8,5714,0.04778111333171666
Neuro Intermediate,9,4453,0.0372364889160193
Neuro Intermediate,10,5509,0.046066880179283703
Neuro Intermediate,11,4442,0.03714450567369363
Neuro Intermediate,12,5527,0.04621739821218025
Neuro Intermediate,13,4315,0.03608251733047906
Neuro Intermediate,14,5099,0.04263841387441779
Neuro Intermediate,15,4264,0.0356560495706055
Neuro Intermediate,16,5435,0.0454480838218201
Neuro Intermediate,17,4620,0.03863296177678176
Neuro Intermediate,18,5355,0.04477911478672431
Neuro Intermediate,19,3884,0.032478446653900504
Neuro Intermediate,20,5587,0.04671912498850209
Neuro Intermediate,21,4600,0.03846571951800781
Neuro Intermediate,22,5600,0.04682783245670516
Neuro Intermediate,23,4533,0.037905457951115086
Neuro Stepdown,0,1326,0.04904208891190177
Neuro Stepdown,1,1013,0.03746578888971078
Neuro Stepdown,2,1263,0.04671203491382499
Neuro Stepdown,3,1002,0.03705895406464975
Neuro Stepdown,4,1346,0.0497817885938309
Neuro Stepdown,5,1011,0.03739181892151786
Neuro Stepdown,6,1271,0.04700791478659664
Neuro Stepdown,7,967,0.03576447962127376
Neuro Stepdown,8,1361,0.05033656335527776
Neuro Stepdown,9,987,0.0365041793032029
Neuro Stepdown,10,1268,0.04689695983430727
Neuro Stepdown,11,985,0.03643020933500998
Neuro Stepdown,12,1264,0.04674901989792144
Neuro Stepdown,13,945,0.034950809971151714
Neuro Stepdown,14,1138,0.04208891190176788
Neuro Stepdown,15,986,0.036467194319106444
Neuro Stepdown,16,1215,0.04493675567719506
Neuro Stepdown,17,986,0.036467194319106444
Neuro Stepdown,18,1194,0.04416007101116946
Neuro Stepdown,19,950,0.035135734891634
Neuro Stepdown,20,1232,0.045565500406834825
Neuro Stepdown,21,1036,0.03831644352392929
Neuro Stepdown,22,1261,0.04663806494563207
Neuro Stepdown,23,1031,0.038131518603447004
Neuro Surgical Intensive Care Unit (Neuro SICU),0,1811,0.04103040463999275
Neuro Surgical Intensive Care Unit (Neuro SICU),1,1802,0.04082649870859577
Neuro Surgical Intensive Care Unit (Neuro SICU),2,1842,0.041732747292582355
Neuro Surgical Intensive Care Unit (Neuro SICU),3,1827,0.04139290407358739
Neuro Surgical Intensive Care Unit (Neuro SICU),4,1779,0.04030540577280348
Neuro Surgical Intensive Care Unit (Neuro SICU),5,1778,0.040282749558203816
Neuro Surgical Intensive Care Unit (Neuro SICU),6,1751,0.03967103176401287
Neuro Surgical Intensive Care Unit (Neuro SICU),7,1822,0.041279623000589065
Neuro Surgical Intensive Care Unit (Neuro SICU),8,1887,0.042752276949567264
Neuro Surgical Intensive Care Unit (Neuro SICU),9,1864,0.04223118401377498
Neuro Surgical Intensive Care Unit (Neuro SICU),10,1848,0.041868684580180345
Neuro Surgical Intensive Care Unit (Neuro SICU),11,1904,0.043137432597761566
Neuro Surgical Intensive Care Unit (Neuro SICU),12,1906,0.04318274502696089
Neuro Surgical Intensive Care Unit (Neuro SICU),13,1854,0.042004621867778334
Neuro Surgical Intensive Care Unit (Neuro SICU),14,1901,0.04306946395396257
Neuro Surgical Intensive Care Unit (Neuro SICU),15,1885,0.042706964520367936
Neuro Surgical Intensive Care Unit (Neuro SICU),16,1874,0.042457746159771624
Neuro Surgical Intensive Care Unit (Neuro SICU),17,1906,0.04318274502696089
Neuro Surgical Intensive Care Unit (Neuro SICU),18,1805,0.04089446735239476
Neuro Surgical Intensive Care Unit (Neuro SICU),19,1742,0.039467125832615885
Neuro Surgical Intensive Care Unit (Neuro SICU),20,1827,0.04139290407358739
Neuro Surgical Intensive Care Unit (Neuro SICU),21,1839,0.04166477864878336
Neuro Surgical Intensive Care Unit (Neuro SICU),22,1863,0.04220852779917531
Neuro Surgical Intensive Care Unit (Neuro SICU),23,1821,0.0412569667859894
OTHER,0,267,0.04156288916562889
OTHER,1,262,0.04078455790784558
OTHER,2,273,0.04249688667496887
OTHER,3,274,0.042652552926525526
OTHER,4,255,0.03969489414694894
OTHER,5,261,0.04062889165628892
OTHER,6,250,0.03891656288916563
OTHER,7,251,0.03907222914072229
OTHER,8,261,0.04062889165628892
OTHER,9,270,0.04202988792029888
OTHER,10,267,0.04156288916562889
OTHER,11,260,0.040473225404732256
OTHER,12,263,0.04094022415940224
OTHER,13,261,0.04062889165628892
OTHER,14,284,0.04420921544209216
OTHER,15,278,0.04327521793275218
OTHER,16,271,0.042185554171855544
OTHER,17,276,0.04296388542963885
OTHER,18,279,0.04343088418430884
OTHER,19,259,0.04031755915317559
OTHER,20,262,0.04078455790784558
OTHER,21,281,0.04374221668742217
OTHER,22,271,0.042185554171855544
OTHER,23,288,0.0448318804483188
Surgical Intensive Care Unit (SICU),0,12807,0.04178384762451632
Surgical Intensive Care Unit (SICU),1,12729,0.04152936647243447
Surgical Intensive Care Unit (SICU),2,12710,0.04146737747385043
Surgical Intensive Care Unit (SICU),3,12663,0.041314036266826754
Surgical Intensive Care Unit (SICU),4,12746,0.04158483031327282
Surgical Intensive Care Unit (SICU),5,12615,0.04115743248093023
Surgical Intensive Care Unit (SICU),6,12286,0.040084044031764465
Surgical Intensive Care Unit (SICU),7,12353,0.04030263681624503
Surgical Intensive Care Unit (SICU),8,12964,0.04229607250755287
Surgical Intensive Care Unit (SICU),9,12769,0.04165986962734824
Surgical Intensive Care Unit (SICU),10,12883,0.04203180361885248
Surgical Intensive Care Unit (SICU),11,12934,0.042198195141367544
Surgical Intensive Care Unit (SICU),12,13129,0.04283439802157217
Surgical Intensive Care Unit (SICU),13,13316,0.043444500270794044
Surgical Intensive Care Unit (SICU),14,13063,0.04261906781596445
Surgical Intensive Care Unit (SICU),15,12904,0.042100317775182215
Surgical Intensive Care Unit (SICU),16,12931,0.04218840740474901
Surgical Intensive Care Unit (SICU),17,12783,0.04170554573156806
Surgical Intensive Care Unit (SICU),18,12609,0.04113785700769316
Surgical Intensive Care Unit (SICU),19,12183,0.03974799840786151
Surgical Intensive Care Unit (SICU),20,12889,0.04205137909208955
Surgical Intensive Care Unit (SICU),21,12796,0.04174795925691504
Surgical Intensive Care Unit (SICU),22,12751,0.04160114320763705
Surgical Intensive Care Unit (SICU),23,12693,0.041411913633012075
Trauma SICU (TSICU),0,9523,0.03989342761749563
Trauma SICU (TSICU),1,9596,0.040199236733958636
Trauma SICU (TSICU),2,9745,0.04082342246482148
Trauma SICU (TSICU),3,9800,0.04105382659366347
Trauma SICU (TSICU),4,9892,0.04143922986372643
Trauma SICU (TSICU),5,9776,0.04095328661016878
Trauma SICU (TSICU),6,9784,0.04098679993800034
Trauma SICU (TSICU),7,9880,0.04138895987197909
Trauma SICU (TSICU),8,10261,0.04298503210995723
Trauma SICU (TSICU),9,10336,0.04329921955837812
Trauma SICU (TSICU),10,10323,0.04324476040065183
Trauma SICU (TSICU),11,10285,0.043085572093451915
Trauma SICU (TSICU),12,10531,0.044116106924272445
Trauma SICU (TSICU),13,10385,0.04350448869134644
Trauma SICU (TSICU),14,10083,0.04223936056570497
Trauma SICU (TSICU),15,10091,0.04227287389353654
Trauma SICU (TSICU),16,10249,0.04293476211820989
Trauma SICU (TSICU),17,10210,0.042771384645031024
Trauma SICU (TSICU),18,9759,0.040882070788526716
Trauma SICU (TSICU),19,9354,0.03918545856705388
Trauma SICU (TSICU),20,9859,0.04130098738642124
Trauma SICU (TSICU),21,9825,0.0411585557431371
Trauma SICU (TSICU),22,9626,0.04032491171332699
Trauma SICU (TSICU),23,9538,0.03995626510717981
